"","name","n_nbinom","q_nbinom","pvalue_nbinom","n_binomlog","q_binomlog","p_binomlog","pvalue_binomlog","p1_doublenbinom","size1_doublenbinom","p2_doublenbinom","size2_doublenbinom","pvalue_doublenbinom","freq","class"
"result.77","little",2.95575268185264,0.324311693035889,0.68244581978489,111,0.694929551022954,0.0290887512860845,0.704191813080414,0.190759961632194,0.0689579400936024,0.30023026339694,2.51508773111853,0.603274747955051,628,"all"
"result.78","himself",3.9204180313609,0.391669185540377,0.181911686372714,332,0.608838357631994,0.0110442892011539,0.180150254139433,0.392578407468738,1.96999405199646,0.390594957575214,1.94810597732637,0.181954432751394,621,"all"
"result.79","such",2.97561586295405,0.330446186318849,0.366966722202899,335,0.656407515674059,0.0100012448955241,0.362533592245132,0.330387490141781,0.00452650401809775,0.330507214372422,2.97209926377506,0.366975327645255,615,"all"
"result.80","go",1.70236682301195,0.220740695664758,0.392400327450846,3,0.871851834444419,0.628872445296053,0.711658832064193,0.778804551999889,7.81277663279922,0.121220606609795,0.522056735593823,0.785162251278366,613,"all"
"result.81","once",4.75063977668515,0.444364741012987,0.822606983507492,6,0.712661612228382,0.502289491969003,0.604028095832291,0.0363377371706208,0.00706491049102003,0.404607973675349,3.96382670200261,0.643583874052799,606,"all"
"result.82","even",4.88502318691462,0.457028134074062,0.104984654082556,696,0.534225016372514,0.00553804215822897,0.106314914037467,0.135256017506556,0.000585858739953917,0.361903523078745,3.3141222455866,0.0455840595344991,592,"nbinom+binomlog"
"result.83","oh",1.07987674280438,0.15733189033341,0.295504521121242,273,0.816726350356118,0.00772802632027336,0.232029982003283,0.999999700606248,1.08279547059134,0.157518315925576,1.08148643763526,0.295557624354316,590,"all"
"result.84","don't",1.07708962523539,0.158540511284555,0.54200643950077,6,0.88148620898603,0.283545039971161,0.489432163341567,0.990699787866474,1.18633717708039,0.158140975180986,1.07152218363578,0.540666842297286,583,"all"
"result.85","too",4.04323173646732,0.415586178646143,0.444780180537083,524,0.569801818893572,0.00686811337361948,0.462626228522381,0.415456316068458,1.16642471402433,0.415457517222587,2.87474724345259,0.444569463359969,580,"all"
"result.86","than",8.97802505618871,0.612651470524446,0.1461437235551,478,0.386128586214851,0.00920583920209273,0.144108508096496,0.997087922866318,0.493872796489075,0.571876329854911,7.55257280861506,0.150987169662129,579,"all"
"result.87","them",3.32193810178809,0.372828061784324,0.328923675717599,3,0.811713582122965,0.747879667604934,0.548964807308446,0.169296216230971,0.246726286338711,0.472038375358734,3.76596738041394,0.336819855769561,570,"all"
"result.88","griffiths",0.584103660304809,0.0953808491953465,0.624298227736804,291,0.890233551973608,0.0047971252236044,0.647168083115714,0.999999364956484,0.95026739756465,0.0922905229310698,0.572849873020745,0.682798784596464,565,"all"
"result.89","because",3.80990727631035,0.408816890639456,0.0706894009557855,586,0.561189862693196,0.00601197083680576,0.0600827762685284,0.00381752402776587,2.84672690081638e-06,0.327285537138382,2.68210628501234,0.0167392630624588,562,"nbinom+binomlog"
"result.90","say",3.65779904167378,0.40072448548536,0.231719379983298,3,0.80949600218225,0.750806879404803,0.329969366747535,0.481058558164701,4.65922848507745,0.0388469724809212,0.0184753783826377,0.37952774225253,558,"all"
"result.91","when",1.57928943763455,0.225911616318694,0.243262408872385,3,0.894868635356451,0.547423266143586,0.00381234263366115,0.329798653223564,2.0340963546974,0.0824052552987303,0.0991503048541797,0.215982897532098,552,"nbinom+doublenbinom"
"result.92","other",3.75730289284124,0.410612975707777,0.577300811245617,6,0.710317392644679,0.454121963582588,0.614963333462929,0.723650663306484,3.43897522943738,0.352116444368261,2.21508685208612,0.602667519470171,550,"all"
"result.93","we",0.75208174966485,0.12943594495651,0.446826324094123,596,0.872908240915553,0.00256781890502601,0.444485022069305,0.999998974095142,1.59209450406293,0.129432048575801,0.752096723265843,0.446840230322917,516,"all"
"result.94","thought",2.59790602780311,0.34372705661939,0.364820376832128,3,0.804528596788434,0.665261820974519,0.635356231161485,0.429263238971521,2.98260739494551,0.101035740102026,0.113877471039126,0.498769879289097,506,"all"
"result.95","over",3.03109940190342,0.379765573828345,0.321588170956133,4,0.763216104755063,0.559332596756227,0.384507232150744,0.334866202980993,1.94997320811282,0.619504264483893,1.76417552930653,0.348330151268944,505,"all"
"result.96","must",1.42996537684586,0.224417869271566,0.264863244021238,309,0.768131787790468,0.00700437705048576,0.26165942454795,0.868595176636345,0.936811424736477,0.215919950220986,1.32197413883037,0.274664842514584,504,"all"
"result.97","most",11.5707861146385,0.703226404864681,0.327085627077267,380,0.295600940040003,0.0107266046946349,0.333390358741841,0.160458950105422,0.00578314698324331,0.602531420500054,7.13222635584093,0.134989000054367,498,"all"
"result.98","come",2.06415676186071,0.300965166790597,0.0917214365604725,802,0.736770776204068,0.00294505380833578,0.0534271241150871,0.400685144924726,2.57440520918778,0.103137286517395,0.108751585866009,0.0474984136459361,489,"nbinom+binomlog"
"result.99","these",2.28746596269973,0.32620222438718,0.0422068152371107,4,0.789491562213959,0.499425194705948,0.0351102254607372,0.487354200607797,3.45034700221839,0.108578469214083,0.133300750511084,0.0477457624035919,482,"nothing"
"result.100","same",3.03722744705874,0.392230499917594,0.264959953776609,7,0.710717670246743,0.34299065676297,0.205528651509058,0.335388270443388,1.67321495953296,0.595909537090995,2.05432177962944,0.261387259652297,480,"all"
"result.101","get",1.53328821266307,0.247702045065525,0.812204249142792,21,0.760769947590184,0.0989950727009411,0.816417336137237,0.889532971187821,2.46351875993086,0.22847890143622,1.28874057992437,0.822415864111285,475,"all"
"result.102","first",2.37836619741215,0.343309150572702,0.258901011872401,4,0.759522743130383,0.507856515611696,0.438140095918247,0.871749301620077,9.31412320341388,0.243680538458803,1.02426193234676,0.430232222636351,464,"all"
"result.103","where",2.34312518679112,0.340438001059944,0.520900518354542,4,0.769745771539105,0.498572842964334,0.646579702413793,0.875147322615447,8.97902949103221,0.254224629153087,1.10941972598001,0.639668506742033,463,"all"
